location,network,signal_strength,signal_quality,sinr,data_speed,timestamp
Front Gate,Airtel,-74.2,47.7,15.9,19.4,2025-10-16 21:50:24.351059
Front Gate,Airtel,-70.5,54.4,15.8,21.4,2025-10-23 02:50:24.351059
Front Gate,Airtel,-73.4,57.1,16.0,22.8,2025-10-20 07:50:24.351059
Front Gate,Airtel,-69.8,56.9,17.5,23.4,2025-10-18 08:50:24.352070
Front Gate,Airtel,-66.7,61.3,13.3,23.2,2025-10-17 06:50:24.352070
Front Gate,Airtel,-67.5,65.8,17.2,27.0,2025-10-16 19:50:24.352070
Front Gate,Glo,-73.4,38.8,11.2,15.1,2025-10-20 10:50:24.352070
Front Gate,Glo,-73.3,46.7,10.4,13.3,2025-10-23 11:50:24.352070
Front Gate,Glo,-78.5,36.4,11.8,14.8,2025-10-20 20:50:24.352070
Front Gate,Glo,-73.7,50.2,9.5,7.9,2025-10-22 10:50:24.352070
Front Gate,Glo,-74.8,38.3,10.2,12.2,2025-10-22 11:50:24.352070
Front Gate,Glo,-74.7,48.2,9.4,11.6,2025-10-16 14:50:24.352070
Front Gate,Glo,-73.2,41.4,12.4,14.4,2025-10-21 04:50:24.352070
Front Gate,Glo,-74.5,40.9,13.8,13.7,2025-10-23 03:50:24.352070
Front Gate,Glo,-72.9,37.0,10.2,8.5,2025-10-16 23:50:24.352070
Front Gate,Glo,-72.1,48.0,12.0,17.0,2025-10-20 02:50:24.352070
Front Gate,Glo,-72.2,43.4,11.7,9.6,2025-10-22 08:50:24.352070
Front Gate,Glo,-75.5,46.5,11.1,15.6,2025-10-23 09:50:24.352070
Front Gate,Glo,-75.4,42.5,12.3,9.6,2025-10-20 12:50:24.352070
Front Gate,Glo,-74.6,40.5,10.4,9.6,2025-10-17 06:50:24.352070
Front Gate,Glo,-75.4,42.5,9.9,12.3,2025-10-19 05:50:24.352070
Front Gate,9mobile,-71.2,28.6,7.0,11.7,2025-10-21 07:50:24.352070
Front Gate,9mobile,-74.0,40.7,9.1,14.2,2025-10-17 19:50:24.352070
Front Gate,9mobile,-74.9,33.4,5.2,11.4,2025-10-16 20:50:24.352070
Front Gate,9mobile,-78.5,32.6,11.8,8.3,2025-10-18 19:50:24.352070
Front Gate,9mobile,-77.6,32.7,9.0,10.4,2025-10-20 01:50:24.352070
Front Gate,9mobile,-75.1,34.8,10.5,9.3,2025-10-22 05:50:24.352070
Front Gate,9mobile,-76.0,27.4,9.6,9.4,2025-10-20 19:50:24.352070
Front Gate,9mobile,-73.0,33.9,8.4,8.5,2025-10-19 09:50:24.352070
Front Gate,9mobile,-79.8,29.1,11.2,10.1,2025-10-23 05:50:24.352070
Front Gate,9mobile,-76.9,30.2,7.8,8.6,2025-10-23 10:50:24.352070
Front Gate,9mobile,-77.2,30.1,6.5,9.2,2025-10-19 13:50:24.352070
Front Gate,9mobile,-79.1,32.4,9.2,8.2,2025-10-22 17:50:24.352070
Front Gate,9mobile,-76.6,32.4,7.0,9.5,2025-10-21 16:50:24.352070
Front Gate,9mobile,-76.1,40.7,8.4,6.1,2025-10-18 23:50:24.352070
Front Gate,9mobile,-73.2,32.9,8.6,4.3,2025-10-22 10:50:24.352070
SENATE Building,MTN,-75.1,49.0,17.5,17.4,2025-10-17 17:50:24.352070
SENATE Building,MTN,-66.6,57.2,19.0,22.2,2025-10-19 09:50:24.352070
SENATE Building,MTN,-70.1,52.1,20.4,23.2,2025-10-22 05:50:24.352070
SENATE Building,MTN,-69.2,50.0,15.5,24.0,2025-10-20 05:50:24.353070
SENATE Building,MTN,-69.2,54.8,18.7,27.1,2025-10-23 00:50:24.353070
SENATE Building,MTN,-72.9,48.7,17.8,25.1,2025-10-20 03:50:24.353070
SENATE Building,MTN,-65.4,62.6,13.6,23.9,2025-10-22 09:50:24.353070
SENATE Building,MTN,-68.1,57.3,21.9,28.2,2025-10-20 09:50:24.353070
SENATE Building,MTN,-73.2,41.8,17.0,20.2,2025-10-17 00:50:24.353070
SENATE Building,MTN,-69.9,53.6,16.6,21.5,2025-10-20 16:50:24.355070
SENATE Building,MTN,-69.7,54.5,15.4,21.9,2025-10-22 20:50:24.355070
SENATE Building,MTN,-64.9,69.6,17.1,26.8,2025-10-18 08:50:24.355070
SENATE Building,MTN,-68.1,49.9,16.6,20.3,2025-10-17 08:50:24.355070
SENATE Building,MTN,-69.4,50.3,16.8,20.1,2025-10-22 17:50:24.355070
SENATE Building,MTN,-68.1,62.6,18.0,22.3,2025-10-20 08:50:24.355070
SENATE Building,Airtel,-68.9,49.3,16.3,18.6,2025-10-22 07:50:24.355070
SENATE Building,Airtel,-71.8,52.4,14.8,20.9,2025-10-20 06:50:24.355070
SENATE Building,Airtel,-75.0,45.8,13.2,14.1,2025-10-21 12:50:24.355070
SENATE Building,Airtel,-78.2,45.9,18.0,14.7,2025-10-16 15:50:24.355070
SENATE Building,Airtel,-73.2,45.5,15.8,21.7,2025-10-20 03:50:24.355070
SENATE Building,Airtel,-72.7,47.0,19.6,18.7,2025-10-18 20:50:24.355070
SENATE Building,Airtel,-72.4,56.1,16.4,27.2,2025-10-21 07:50:24.355070
SENATE Building,Airtel,-70.4,55.0,16.6,18.5,2025-10-18 21:50:24.355070
SENATE Building,Airtel,-76.4,55.0,17.4,16.4,2025-10-20 05:50:24.355070
SENATE Building,Airtel,-72.8,53.5,18.3,16.6,2025-10-20 02:50:24.355070
SENATE Building,Airtel,-69.6,51.1,16.9,22.1,2025-10-20 04:50:24.355070
SENATE Building,Airtel,-71.0,55.8,15.2,17.1,2025-10-21 02:50:24.356536
SENATE Building,Airtel,-74.0,51.4,17.3,17.3,2025-10-23 06:50:24.356536
SENATE Building,Airtel,-76.8,45.8,17.2,15.7,2025-10-21 06:50:24.356536
SENATE Building,Airtel,-76.0,43.4,12.4,16.5,2025-10-18 05:50:24.356536
SENATE Building,Glo,-78.6,39.8,10.2,7.0,2025-10-20 02:50:24.356536
SENATE Building,Glo,-79.0,31.0,10.0,8.8,2025-10-22 18:50:24.356536
SENATE Building,Glo,-72.3,41.5,11.6,12.0,2025-10-19 12:50:24.356536
SENATE Building,Glo,-79.7,37.6,10.0,7.9,2025-10-23 06:50:24.356536
SENATE Building,Glo,-80.6,35.1,7.5,10.9,2025-10-22 12:50:24.356536
SENATE Building,Glo,-74.7,31.9,12.0,8.2,2025-10-17 04:50:24.356536
SENATE Building,Glo,-72.7,35.8,14.0,11.2,2025-10-17 07:50:24.356536
SENATE Building,Glo,-79.6,41.7,10.6,5.1,2025-10-23 03:50:24.356536
SENATE Building,Glo,-82.4,25.3,11.9,10.4,2025-10-22 06:50:24.356536
SENATE Building,Glo,-85.3,27.7,10.1,12.0,2025-10-18 19:50:24.356536
SENATE Building,Glo,-79.1,34.2,9.4,10.3,2025-10-22 23:50:24.356536
SENATE Building,Glo,-76.0,39.6,11.1,11.8,2025-10-19 22:50:24.356536
SENATE Building,Glo,-78.5,31.2,8.2,10.9,2025-10-19 22:50:24.356536
SENATE Building,Glo,-75.1,40.5,5.9,10.5,2025-10-20 01:50:24.357547
SENATE Building,Glo,-70.9,37.4,8.9,12.0,2025-10-20 07:50:24.357547
SENATE Building,9mobile,-80.9,30.2,5.7,7.6,2025-10-20 05:50:24.357547
SENATE Building,9mobile,-88.1,22.1,7.3,0.1,2025-10-18 19:50:24.357547
SENATE Building,9mobile,-80.7,21.0,10.1,4.9,2025-10-17 23:50:24.357547
SENATE Building,9mobile,-83.7,24.4,12.5,2.9,2025-10-22 02:50:24.357547
SENATE Building,9mobile,-77.5,29.3,7.4,8.7,2025-10-17 08:50:24.357547
SENATE Building,9mobile,-80.7,27.1,8.0,7.3,2025-10-21 00:50:24.357547
SENATE Building,9mobile,-80.2,17.5,6.8,9.0,2025-10-20 10:50:24.357547
SENATE Building,9mobile,-85.4,25.7,7.0,3.2,2025-10-22 07:50:24.357547
SENATE Building,9mobile,-79.9,26.3,6.8,7.5,2025-10-20 13:50:24.357547
SENATE Building,9mobile,-80.4,32.0,7.9,2.0,2025-10-19 22:50:24.357547
SENATE Building,9mobile,-76.1,33.7,6.5,3.1,2025-10-21 09:50:24.357547
SENATE Building,9mobile,-76.8,28.2,8.3,9.4,2025-10-20 21:50:24.357547
SENATE Building,9mobile,-79.5,29.3,8.0,4.0,2025-10-22 10:50:24.357547
SENATE Building,9mobile,-82.2,30.0,9.5,8.5,2025-10-16 15:50:24.357547
SENATE Building,9mobile,-82.7,41.8,8.8,0.1,2025-10-16 18:50:24.357547
Library,MTN,-71.5,50.9,17.3,19.8,2025-10-20 09:50:24.357547
Library,MTN,-70.6,61.2,18.4,24.7,2025-10-18 18:50:24.357547
Library,MTN,-66.8,65.1,15.5,23.7,2025-10-21 08:50:24.357547
Library,MTN,-68.4,55.6,17.5,16.3,2025-10-21 17:50:24.357547
Library,MTN,-68.9,55.3,16.5,22.7,2025-10-22 05:50:24.357547
Library,MTN,-70.5,47.0,14.1,22.1,2025-10-20 13:50:24.357547
Library,MTN,-73.0,51.9,16.5,21.4,2025-10-21 10:50:24.357547
Library,MTN,-76.2,46.2,17.5,15.4,2025-10-19 21:50:24.358548
Library,MTN,-70.8,53.7,17.4,22.1,2025-10-17 10:50:24.358548
Library,MTN,-72.1,61.1,16.9,17.0,2025-10-18 02:50:24.358548
Library,MTN,-71.3,50.8,19.9,21.1,2025-10-22 00:50:24.358548
Library,MTN,-67.3,47.6,15.2,26.6,2025-10-20 16:50:24.358548
Library,MTN,-71.1,49.9,13.8,22.4,2025-10-16 13:50:24.358548
Library,MTN,-70.3,50.8,18.0,18.6,2025-10-18 03:50:24.358548
Library,MTN,-66.8,66.2,15.6,25.5,2025-10-22 13:50:24.358548
Library,Airtel,-76.8,43.7,18.1,13.1,2025-10-21 02:50:24.358548
Library,Airtel,-74.4,57.1,13.4,17.4,2025-10-16 14:50:24.358548
Library,Airtel,-69.9,46.4,17.7,22.8,2025-10-18 15:50:24.358548
Library,Airtel,-72.5,45.4,13.5,22.3,2025-10-17 14:50:24.358548
Library,Airtel,-74.0,32.2,14.9,14.7,2025-10-19 06:50:24.358548
Library,Airtel,-78.4,47.1,12.7,12.0,2025-10-19 17:50:24.358548
Library,Airtel,-74.6,50.9,12.0,20.4,2025-10-19 22:50:24.358548
Library,Airtel,-69.4,46.1,12.8,22.8,2025-10-17 08:50:24.358548
Library,Airtel,-71.9,47.5,17.7,18.2,2025-10-22 10:50:24.358548
Library,Airtel,-75.5,47.8,13.3,19.1,2025-10-18 04:50:24.358548
Library,Airtel,-71.1,38.7,16.0,19.8,2025-10-20 12:50:24.358548
Library,Airtel,-72.6,40.6,14.2,15.0,2025-10-18 05:50:24.358548
Library,Airtel,-72.5,50.4,11.8,21.4,2025-10-17 11:50:24.358548
Library,Airtel,-72.9,49.6,17.7,19.8,2025-10-19 04:50:24.358548
Library,Airtel,-73.3,47.4,13.8,20.4,2025-10-18 05:50:24.358548
Library,Glo,-74.0,39.8,9.6,11.7,2025-10-20 11:50:24.358548
Library,Glo,-75.4,35.3,7.5,12.2,2025-10-18 20:50:24.358548
Library,Glo,-74.1,44.0,7.2,10.5,2025-10-16 19:50:24.358548
Library,Glo,-74.4,34.6,7.9,11.3,2025-10-20 19:50:24.358548
Library,Glo,-79.9,33.7,7.8,7.3,2025-10-19 21:50:24.358548
Library,Glo,-79.9,28.9,5.5,5.9,2025-10-21 08:50:24.358548
Library,Glo,-77.8,39.9,7.5,5.5,2025-10-19 17:50:24.358548
Library,Glo,-80.3,39.4,6.7,9.5,2025-10-18 23:50:24.358548
Library,Glo,-80.2,32.1,6.2,10.4,2025-10-18 19:50:24.358548
Library,Glo,-78.0,28.0,9.3,10.7,2025-10-21 14:50:24.358548
Library,Glo,-77.4,33.2,6.3,2.9,2025-10-17 06:50:24.359549
Library,Glo,-73.3,33.3,11.8,7.4,2025-10-19 03:50:24.359549
Library,Glo,-82.0,32.7,11.3,4.9,2025-10-22 21:50:24.359549
Library,Glo,-76.3,36.4,9.9,11.9,2025-10-21 06:50:24.359549
Library,Glo,-78.0,40.7,11.3,11.6,2025-10-18 17:50:24.359549
Library,9mobile,-83.3,22.1,5.3,3.5,2025-10-22 14:50:24.359549
Library,9mobile,-83.9,24.4,4.5,3.5,2025-10-17 09:50:24.359549
Library,9mobile,-81.0,33.5,8.6,4.9,2025-10-16 18:50:24.359549
Library,9mobile,-84.5,24.7,4.5,5.7,2025-10-23 05:50:24.359549
Library,9mobile,-78.3,39.1,8.7,2.4,2025-10-20 16:50:24.359549
Library,9mobile,-82.4,33.3,5.2,3.0,2025-10-21 18:50:24.359549
Library,9mobile,-81.4,27.8,5.3,4.0,2025-10-21 19:50:24.359549
Library,9mobile,-79.4,24.8,5.9,6.3,2025-10-21 01:50:24.359549
Library,9mobile,-82.9,31.4,6.1,4.0,2025-10-17 04:50:24.359549
Library,9mobile,-81.6,22.0,7.0,3.6,2025-10-22 09:50:24.359549
Library,9mobile,-80.5,24.2,6.9,6.0,2025-10-23 11:50:24.359549
Library,9mobile,-79.1,30.2,5.2,4.5,2025-10-22 05:50:24.359549
Library,9mobile,-80.1,34.5,6.4,7.9,2025-10-21 01:50:24.359549
Library,9mobile,-79.7,33.3,8.2,4.3,2025-10-22 23:50:24.359549
Library,9mobile,-80.5,27.6,5.5,7.5,2025-10-16 22:50:24.359549
Round About,MTN,-62.6,76.0,15.1,31.5,2025-10-22 07:50:24.359549
Round About,MTN,-64.2,64.5,22.0,31.0,2025-10-19 16:50:24.359549
Round About,MTN,-65.8,61.7,17.8,25.8,2025-10-19 02:50:24.359549
Round About,MTN,-67.8,60.3,23.4,24.8,2025-10-22 03:50:24.359549
Round About,MTN,-68.1,60.3,18.1,29.2,2025-10-17 09:50:24.359549
Round About,MTN,-60.4,63.1,19.3,30.1,2025-10-19 12:50:24.359549
Round About,MTN,-63.4,68.6,17.8,22.8,2025-10-18 09:50:24.359549
Round About,MTN,-65.5,63.3,20.4,32.4,2025-10-21 00:50:24.360546
Round About,MTN,-63.8,64.2,20.5,28.9,2025-10-21 12:50:24.360546
Round About,MTN,-60.4,65.1,17.6,34.6,2025-10-22 00:50:24.360546
Round About,MTN,-71.3,63.6,22.1,25.5,2025-10-22 13:50:24.360546
Round About,MTN,-69.4,58.9,22.4,24.8,2025-10-16 17:50:24.360546
Round About,MTN,-65.8,67.9,14.0,25.1,2025-10-20 11:50:24.360546
Round About,MTN,-61.8,66.0,16.2,33.5,2025-10-20 02:50:24.360546
Round About,MTN,-61.1,58.8,18.0,33.6,2025-10-19 12:50:24.360546
Round About,Airtel,-67.8,61.8,18.2,21.0,2025-10-18 11:50:24.360546
Round About,Airtel,-69.6,56.3,14.8,27.9,2025-10-17 10:50:24.360546
Round About,Airtel,-70.8,45.0,17.9,23.8,2025-10-22 12:50:24.360546
Round About,Airtel,-66.9,49.9,16.0,18.1,2025-10-20 11:50:24.360546
Round About,Airtel,-69.0,51.4,17.0,18.3,2025-10-21 03:50:24.360546
Round About,Airtel,-66.1,53.4,16.8,22.7,2025-10-20 06:50:24.360546
Round About,Airtel,-73.4,52.3,17.0,19.4,2025-10-20 22:50:24.360546
Round About,Airtel,-70.0,56.2,17.1,20.9,2025-10-21 06:50:24.360546
Round About,Airtel,-65.5,52.3,16.9,27.7,2025-10-21 12:50:24.360546
Round About,Airtel,-69.7,56.0,17.7,28.3,2025-10-22 09:50:24.360546
Round About,Airtel,-68.0,51.2,20.2,25.0,2025-10-23 04:50:24.360546
Round About,Airtel,-73.1,43.9,16.2,15.4,2025-10-16 20:50:24.360546
Round About,Airtel,-67.8,60.3,16.3,22.9,2025-10-19 00:50:24.360546
Round About,Airtel,-70.7,48.9,19.9,22.4,2025-10-18 18:50:24.360546
Round About,Airtel,-71.9,52.3,17.0,17.5,2025-10-19 02:50:24.361544
Round About,Glo,-71.4,48.7,11.8,19.7,2025-10-21 09:50:24.361544
Round About,Glo,-73.4,39.8,10.6,8.2,2025-10-22 03:50:24.361544
Round About,Glo,-66.1,46.1,6.8,8.3,2025-10-16 14:50:24.361544
Round About,Glo,-68.0,37.6,7.6,12.7,2025-10-20 14:50:24.361544
Round About,Glo,-76.9,28.8,9.9,7.7,2025-10-21 14:50:24.361544
Round About,Glo,-67.6,47.1,11.1,16.1,2025-10-22 16:50:24.361544
Round About,Glo,-73.3,45.7,11.5,8.7,2025-10-20 17:50:24.361544
Round About,Glo,-66.0,39.2,12.6,14.5,2025-10-16 23:50:24.361544
Round About,Glo,-62.7,56.7,10.7,16.7,2025-10-19 18:50:24.361544
Round About,Glo,-75.3,31.0,10.5,13.2,2025-10-18 12:50:24.361544
Round About,Glo,-69.9,42.5,12.0,16.6,2025-10-19 00:50:24.361544
Round About,Glo,-72.4,36.2,7.5,15.3,2025-10-19 07:50:24.361544
Round About,Glo,-77.5,31.2,10.7,11.5,2025-10-21 14:50:24.361544
Round About,Glo,-76.8,39.1,11.4,13.9,2025-10-21 17:50:24.361544
Round About,Glo,-69.6,39.7,8.2,19.5,2025-10-17 01:50:24.361544
Round About,9mobile,-74.8,34.5,8.0,8.4,2025-10-19 13:50:24.361544
Round About,9mobile,-76.7,30.0,10.2,10.3,2025-10-18 03:50:24.361544
Round About,9mobile,-79.4,32.8,6.1,6.2,2025-10-18 13:50:24.361544
Round About,9mobile,-75.6,28.4,8.2,12.8,2025-10-18 04:50:24.361544
Round About,9mobile,-77.8,30.5,9.6,13.5,2025-10-21 11:50:24.361544
Round About,9mobile,-73.9,38.6,6.6,9.9,2025-10-23 05:50:24.362666
Round About,9mobile,-74.1,40.4,7.1,4.4,2025-10-21 11:50:24.362666
Round About,9mobile,-76.9,31.5,10.3,6.0,2025-10-23 07:50:24.362666
Round About,9mobile,-71.2,35.7,10.2,10.8,2025-10-17 17:50:24.362666
Round About,9mobile,-79.5,28.7,10.2,9.2,2025-10-16 16:50:24.362666
Round About,9mobile,-76.0,27.9,8.3,6.8,2025-10-20 04:50:24.362666
Round About,9mobile,-77.6,32.1,8.9,3.0,2025-10-16 15:50:24.362666
Round About,9mobile,-74.9,32.6,10.5,7.5,2025-10-19 03:50:24.362666
Round About,9mobile,-72.3,35.0,10.7,9.1,2025-10-18 23:50:24.362666
Round About,9mobile,-75.0,33.4,7.9,4.6,2025-10-19 16:50:24.362666
Back Gate,MTN,-71.1,47.2,18.7,26.1,2025-10-20 02:50:24.362666
Back Gate,MTN,-70.6,45.1,16.5,23.8,2025-10-21 13:50:24.362666
Back Gate,MTN,-71.3,55.1,19.3,17.8,2025-10-23 02:50:24.362666
Back Gate,MTN,-71.2,57.5,15.8,24.8,2025-10-17 01:50:24.362666
Back Gate,MTN,-70.3,56.7,19.7,26.7,2025-10-22 10:50:24.362666
Back Gate,MTN,-71.0,50.2,17.6,28.0,2025-10-19 02:50:24.362666
Back Gate,MTN,-67.9,60.9,16.5,23.6,2025-10-21 18:50:24.362666
Back Gate,MTN,-65.4,59.8,18.2,21.1,2025-10-22 20:50:24.362666
Back Gate,MTN,-71.8,51.9,18.6,20.8,2025-10-19 13:50:24.362666
Back Gate,MTN,-67.8,54.6,17.2,25.7,2025-10-17 15:50:24.362666
Back Gate,MTN,-72.6,50.8,20.3,21.6,2025-10-18 18:50:24.362666
Back Gate,MTN,-73.7,47.8,19.9,19.8,2025-10-19 08:50:24.362666
Back Gate,MTN,-73.2,45.9,18.2,13.7,2025-10-22 09:50:24.362666
Back Gate,MTN,-71.1,54.1,16.1,23.9,2025-10-18 22:50:24.362666
Back Gate,MTN,-67.2,57.9,17.6,20.4,2025-10-17 01:50:24.362666
Back Gate,Airtel,-72.9,46.1,15.5,19.6,2025-10-20 08:50:24.362666
Back Gate,Airtel,-70.9,56.8,15.4,20.8,2025-10-20 16:50:24.362666
Back Gate,Airtel,-77.0,52.3,14.1,18.3,2025-10-16 18:50:24.362666
Back Gate,Airtel,-75.5,39.1,12.7,10.7,2025-10-19 06:50:24.362666
Back Gate,Airtel,-73.3,38.8,13.2,18.4,2025-10-18 04:50:24.362666
Back Gate,Airtel,-66.5,60.4,14.5,21.4,2025-10-18 10:50:24.363737
Back Gate,Airtel,-75.2,55.4,15.3,17.8,2025-10-21 05:50:24.363737
Back Gate,Airtel,-76.8,49.9,15.7,20.4,2025-10-20 19:50:24.363737
Back Gate,Airtel,-74.3,49.2,14.0,14.9,2025-10-23 00:50:24.363737
Back Gate,Airtel,-73.7,46.2,14.2,17.2,2025-10-21 16:50:24.363737
Back Gate,Airtel,-68.5,54.5,13.3,19.8,2025-10-22 07:50:24.363737
Back Gate,Airtel,-73.9,53.6,17.4,17.5,2025-10-18 15:50:24.363737
Back Gate,Airtel,-71.6,47.8,15.4,15.3,2025-10-21 18:50:24.363737
Back Gate,Airtel,-70.1,53.8,11.8,17.7,2025-10-17 10:50:24.363737
Back Gate,Airtel,-73.2,44.5,13.9,14.7,2025-10-23 02:50:24.363737
Back Gate,Glo,-81.9,25.7,8.4,2.8,2025-10-18 18:50:24.363737
Back Gate,Glo,-77.0,38.6,9.9,5.1,2025-10-17 00:50:24.363737
Back Gate,Glo,-78.9,32.0,7.1,9.9,2025-10-20 07:50:24.363737
Back Gate,Glo,-80.4,33.3,10.4,6.3,2025-10-20 07:50:24.363737
Back Gate,Glo,-80.0,29.8,8.5,8.5,2025-10-18 19:50:24.363737
Back Gate,Glo,-79.0,32.0,7.3,4.5,2025-10-17 08:50:24.363737
Back Gate,Glo,-86.9,25.4,6.7,5.3,2025-10-22 06:50:24.363737
Back Gate,Glo,-80.3,38.5,8.9,10.9,2025-10-20 02:50:24.363737
Back Gate,Glo,-73.0,39.0,8.7,11.0,2025-10-20 06:50:24.363737
Back Gate,Glo,-76.4,30.2,10.9,12.0,2025-10-20 21:50:24.363737
Back Gate,Glo,-84.4,26.9,8.9,6.1,2025-10-18 04:50:24.363737
Back Gate,Glo,-81.5,42.6,10.6,7.3,2025-10-21 13:50:24.363737
Back Gate,Glo,-78.0,27.6,8.5,14.5,2025-10-21 13:50:24.363737
Back Gate,Glo,-80.1,37.1,9.0,9.8,2025-10-18 13:50:24.363737
Back Gate,Glo,-79.6,28.7,10.1,8.5,2025-10-22 00:50:24.363737
Back Gate,9mobile,-84.1,22.1,7.2,3.1,2025-10-21 11:50:24.363737
Back Gate,9mobile,-76.1,29.6,5.2,4.8,2025-10-20 18:50:24.363737
Back Gate,9mobile,-79.0,15.3,9.4,1.7,2025-10-17 23:50:24.363737
Back Gate,9mobile,-83.1,24.4,3.6,3.1,2025-10-18 15:50:24.363737
Back Gate,9mobile,-81.5,33.6,5.9,1.7,2025-10-20 13:50:24.363737
Back Gate,9mobile,-84.6,30.1,11.0,6.7,2025-10-16 20:50:24.363737
Back Gate,9mobile,-82.2,19.6,8.3,4.2,2025-10-20 22:50:24.363737
Back Gate,9mobile,-81.0,30.5,9.3,0.4,2025-10-18 01:50:24.363737
Back Gate,9mobile,-78.8,39.2,4.5,8.7,2025-10-17 06:50:24.363737
Back Gate,9mobile,-78.9,15.4,9.8,4.3,2025-10-18 07:50:24.363737
Back Gate,9mobile,-82.5,23.9,5.8,8.8,2025-10-21 11:50:24.363737
Back Gate,9mobile,-80.4,26.9,7.9,5.1,2025-10-17 12:50:24.363737
Back Gate,9mobile,-75.4,37.5,3.8,10.8,2025-10-16 18:50:24.363737
Back Gate,9mobile,-81.3,27.2,5.5,9.5,2025-10-21 07:50:24.364844
Back Gate,9mobile,-87.8,25.1,8.9,6.1,2025-10-21 23:50:24.364844
Hostel A,MTN,-75.2,41.0,15.5,12.9,2025-10-20 03:50:24.364844
Hostel A,MTN,-79.2,33.3,15.3,13.8,2025-10-21 22:50:24.364844
Hostel A,MTN,-74.1,43.7,14.8,15.8,2025-10-20 22:50:24.364844
Hostel A,MTN,-76.9,36.5,13.4,12.4,2025-10-17 03:50:24.364844
Hostel A,MTN,-79.4,38.5,12.6,15.5,2025-10-20 15:50:24.364844
Hostel A,MTN,-70.4,46.0,14.4,14.8,2025-10-18 17:50:24.364844
Hostel A,MTN,-80.7,37.2,14.6,11.2,2025-10-18 13:50:24.364844
Hostel A,MTN,-77.7,48.1,10.3,10.3,2025-10-20 20:50:24.364844
Hostel A,MTN,-77.3,39.3,17.6,11.0,2025-10-20 02:50:24.364844
Hostel A,MTN,-77.7,34.1,16.3,12.3,2025-10-21 05:50:24.364844
Hostel A,MTN,-80.4,29.2,17.4,6.5,2025-10-18 05:50:24.364844
Hostel A,MTN,-76.2,37.6,13.0,18.9,2025-10-19 16:50:24.364844
Hostel A,MTN,-72.1,50.3,13.7,19.1,2025-10-21 12:50:24.364844
Hostel A,MTN,-78.8,49.8,14.1,13.3,2025-10-19 17:50:24.364844
Hostel A,MTN,-79.1,31.9,14.7,17.3,2025-10-20 02:50:24.364844
Hostel A,Airtel,-77.0,41.0,12.9,11.2,2025-10-17 08:50:24.364844
Hostel A,Airtel,-82.0,32.5,9.0,11.4,2025-10-18 15:50:24.364844
Hostel A,Airtel,-78.0,40.7,13.5,7.8,2025-10-17 14:50:24.364844
Hostel A,Airtel,-76.5,44.8,11.6,10.7,2025-10-17 22:50:24.364844
Hostel A,Airtel,-79.6,31.0,14.6,7.3,2025-10-22 13:50:24.364844
Hostel A,Airtel,-81.3,40.0,13.9,10.9,2025-10-21 19:50:24.364844
Hostel A,Airtel,-77.3,31.4,9.7,14.3,2025-10-16 12:50:24.364844
Hostel A,Airtel,-74.2,42.0,9.7,14.2,2025-10-20 18:50:24.364844
Hostel A,Airtel,-79.5,33.2,11.6,16.3,2025-10-17 15:50:24.364844
Hostel A,Airtel,-81.3,36.1,8.9,9.4,2025-10-17 03:50:24.364844
Hostel A,Airtel,-77.2,33.1,12.9,7.9,2025-10-19 17:50:24.364844
